X1,Publication,Title,Tagline,Author,Category,City,Date
1,Fox News,"Indiana woman shot, killed after argument with Black Lives Matter supporters, family says","An Indiana woman was fatally shot earlier this month following an alleged argument between her family and a group of Black Lives Matter supporters, her family says.",NA,us,national,2020-06-30
2,Fox News,"Justin Haskins: If you believe Black lives matter, support more funding for police — not less","Demands by some to defund or disband police departments around the nation will only lead to increased crime and the loss of more innocent lives, including Black lives.",NA,opinion,national,2020-06-27
3,Fox News,Black Lives Matter Philadelphia organizer proposes five-year plan to abolish police,"For more than a month, in the aftermath of George Floyd's death while in police custody in Minneapolis, the Black Lives Matter (BLM) movement has continued to lead the way in calling for sweeping changes across the country in the bid to end racial injustices. At the heart of the debate, is the campaign to defund – and even dismantle – police departments.",NA,us,national,2020-06-25
4,Fox News,"Black Lives Matter leader states if US 'doesn't give us what we want, then we will burn down this system'","""I just want black liberation and black sovereignty, by any means necessary.""",NA,media,national,2020-06-01
5,Fox News,"Ginni Thomas, wife of Justice Clarence Thomas, slams Black Lives Matter: report",The wife of Supreme Court Justice Clarence Thomas slammed the Black Lives Matter movement.,NA,politics,national,2020-06-28
6,Fox News,"NYC Black Lives Matter marches can continue despite large-event ban, de Blasio says",Mayor Bill de Blasio is permitting Black Lives Matter protesters to continue marching through city streets while canceling all large events through September.,NA,us,national,2020-06-27
7,Fox News,"Anti-police demonstrations may have sparked new coronavirus cases, some cities now acknowledge",Several big-city mayors and top officials are acknowledging that weeks of anti-police protests and riots may have contributed to surging coronavirus rates.,NA,politics,national,2020-06-23
8,Fox News,"CNN's Don Lemon scolds Terry Crews, says Black Lives Matter is about police brutality, not Black-on-Black violence","CNN host Don Lemon lectured actor Terry Crews on Monday night about the meaning of the Black Lives Matter movement, insisting it’s about police brutality and has nothing to do with Black-on-Black gun violence.",NA,media,national,2020-06-24
9,Fox News,"Giuliani hammers 'stupid,' 'communist' de Blasio, says Black Lives Matter 'is not a benign organization'","Former New York City Mayor Rudolph Giuliani bashed the current mayor, Bill de Blasio, on ""Hannity"" Friday, saying the incumbent's policies have undone the progress the city made under Giuliani and his successor Michael Bloomberg.",NA,media,national,2020-06-28
10,Fox News,California pair charged with hate crime after Black Lives Matter mural cover-up: authorities,Two California residents were charged with a hate crime and other offenses Tuesday after they were captured on video allegedly covering up a Black Lives Matter mural.,NA,us,national,2020-06-25
11,Fox News,California pair charged with hate crime after Black Lives Matter mural cover-up: authorities,Two California residents were charged with a hate crime and other offenses Tuesday after they were captured on video allegedly covering up a Black Lives Matter mural.,NA,us,national,2020-06-25
12,Fox News,Curtis Hill: Black Lives Matter movement should prioritize Black fatherhood to improve Black lives,Anyone truly wanting to help advance the cause of Black lives in America would do us all a favor by affirming the value of fathers.,NA,opinion,national,2020-06-27
13,Fox News,"Amid unrest, Black Lives Matter and other social justice groups see fundraising windfall","With this upheaval has come an unprecedented surge of donations to organizations and causes associated with the social justice movement, including Black Lives Matter groups and others.",NA,politics,national,2020-06-01
14,Fox News,Vandals alter Black Lives Matter mural outside of Chicago to say 'All Lives Matter',A Black Lives Matter mural painted on a street in a village outside of Chicago has been altered to say “All Lives Matter.”,NA,us,national,2020-06-27
15,Fox News,Ben Shapiro: All Black lives lost should matter to Black Lives Matter movement,Not all Black lives lost are equally valuable to those promoting the narrative that America's systems are the greatest obstacle to Black Americans.,NA,opinion,national,2020-06-27
16,Fox News,Atlanta Dream players show support for Black Lives Matter movement amid criticisms from co-owner Sen. Loeffler,"Atlanta Dream players came out in support of the Black Lives Matter movement amid turmoil with co-owner Sen. Kelly Loeffler, R-Ga., over her opposition to the social-justice initiative.",NA,sports,national,2020-06-29
17,Fox News,"Geraldo Rivera, Leo Terrell rip 'shameful, spiteful' de Blasio over 'Black Lives Matter' mural 'stunt'","Fox News correspondent-at-large Geraldo Rivera and civil rights attorney Leo Terrell ripped New York City Mayor Bill de Blasio on ""Bill Hemmer Reports"" Thursday for commissioning local artists to paint the legend ""Black Lives Matter"" on Fifth Avenue outside Trump Tower.",NA,media,national,2020-06-27
18,Fox News,Exposing Black Lives Matter's ties to convicted domestic terrorist,Susan Rosenberg sits on the board of a non-profit that is tied to Black Lives Matter's fundraising operations; reaction from former NYPD Commissioner Bernie Kerik.,NA,video,national,2020-06-26
19,Fox News,Dems' confidential 2015 memo cautioned about interactions with 'radical' Black Lives Matter movement,"A newly resurfaced November 2015 memo from a senior Democratic Congressional Campaign Committee (DCCC) official calls the Black Lives Movement ""radical,"" and offers Democratic House candidates suggestions for how to handle activists who attempt to approach their campaigns.",NA,politics,national,2020-06-01
20,Fox News,Women attack Canadian Black Lives Matter protesters with hockey stick,Two women in Canada were filmed attacking protesters with a hockey stick at a Black and Indigenous Lives Matter rally on Saturday. Winnipeg police said they are investigating the attack on a black …,NA,politics,national,2020-06-25
21,Fox News,Sheriff David Clarke: It's time to stand up to Black Lives Matter,"We are as afraid to point out the obvious, that the sniper attack by Micah Johnson in Dallas, who according to Dallas Police Chief David Brown was “upset about Black Lives Matter,” is just as tied to this domestic hate group as the Orlando terrorist was to radical Islam.",NA,opinion,national,2016-01-01
22,Fox News,"Black Lives Matter plans armed 'peace officers' in war on police, NY leader says","The Black Lives Matter movement will develop an armed branch of “peace officers” to combat police brutality in black communities during the so-called “war on police,” according to one of its leaders.",NA,us,national,2020-06-01
