X1,Publication,Title,Tagline,Author,Category,City,Date
1,Fox News,Trump wears face mask in public for first time during coronavirus pandemic,President Trump visited the Walter Reed Military Hospital Saturday where he was spotted wearing a face mask in public for the first time amid surging cases of coronavirus in the U.S.,NA,politics,national,2020-06-29
2,Fox News,"Wearing a mask cuts own risk of novel coronavirus by 65 percent, experts say","Health experts have stressed the importance of wearing masks to limit the possibility of infections others with COVID-19, but a range of new research now suggests they also protect the wearer, according to a report Monday.",NA,health,national,2020-06-26
3,Fox News,Doorbell video captures violent Illinois home invasion which left coronavirus mask-wearing suspect dead,Illinois police released doorbell video of two armed robbers invading a home in coronavirus medical masks and gloves--an incident that left one of them dead--killed by the homeowner--and the other under arrest.,NA,us,national,2020-04-01
4,Fox News,Illinois Costco shopper spits in man's face for removing mask while exiting store: police,A woman who claimed to be a teacher assaulted a man and spit in his face when he took his mask off while exiting a Costco store.,NA,us,national,2020-06-28
5,Fox News,Bill Nye tests out coronavirus mask materials in video,Bill Nye the “Science Guy” shared a public service announcement about face masks and how effective the materials used to make them are in a pair of TikTok videos Wednesday.,NA,science,national,2020-06-27
6,Fox News,Coronavirus can still pass between face mask wearers — even when they're 4 feet apart: study,"COVID-19 can be transmitted between people who are standing more than four feet apart, even if they are wearing a mask, a new study has found.",NA,science,national,2020-06-01
7,Fox News,Coronavirus expert says Americans will be wearing masks for ‘several years’,"The U.S. recently added about 43,000 positive COVID-19 cases to its 2.9 million total.",NA,us,national,2020-06-24
8,Fox News,Whitmer’s ‘overly aggressive’ Michigan mask mandate has businesses worried about enforcement,"Michigan Gov. Gretchen Whitmer has ordered businesses to disallow customers from entering their establishments unmasked, leaving owners worried it will detract from their business.",NA,politics,national,2020-06-28
9,Fox News,Coronavirus outbreak sparks face mask debate: Should you wear them?,Should the general public wear masks during the coronavirus epidemic in the U.S.?,NA,health,national,2020-04-01
10,Fox News,"Wearing a surgical mask can reduce coronavirus transmission by up to 75 percent, study says","Researchers on Sunday found that wearing surgical masks can significantly reduce the rate of airborne COVID-19 transmission, amid a debate over the effectiveness of wearing them during the coronavirus pandemic.",NA,health,national,2020-05-01
11,Fox News,"Wearing a surgical mask can reduce coronavirus transmission by up to 75 percent, study says","Researchers on Sunday found that wearing surgical masks can significantly reduce the rate of airborne COVID-19 transmission, amid a debate over the effectiveness of wearing them during the coronavirus pandemic.",NA,health,national,2020-05-01
12,Fox News,Arizona Gov. Ducey says public should wear coronavirus masks after heated statewide debate,"After a heated debate about masks erupted in Arizona, where coronavirus cases have been growing daily, Gov. Doug Ducey is requiring his citizens to cover their faces in public.",NA,politics,national,2020-06-01
13,Fox News,Oklahoma city amends coronavirus mask order following physical confrontations after reopening,A city in Oklahoma has lifted a coronavirus mask requirement following reports of physical confrontations — and a threat of violence involving a gun -- at reopened stores and restaurants.,NA,us,national,2020-05-01
14,Fox News,Coronavirus face mask causing glasses to fog? Here’s how to prevent misty lenses,How to prevent your glasses from fogging while wearing a face mask.,NA,health,national,2020-04-01
15,Fox News,Group of Texas sheriffs won't enforce governor's 'draconian' coronavirus mask rule,Gov. Greg Abbott signed an executive order allowing officers to fine repeat offenders.,NA,us,national,2020-06-25
16,Fox News,California county sheriff says he won't enforce Newsom's coronavirus mask order,"The Sheriff's office for Sacramento County announced on Friday that it will not enforce Gov. Gavin Newsom's coronavirus order, forcing residents to wear masks or facial coverings, while they are out in public.",NA,us,national,2020-06-01
17,Fox News,"Couples should wear face masks during sex, new study insists",Safe sex during the coronavirus pandemic might soon require more protection than just the nether regions.,NA,us,national,2020-06-01
18,Fox News,Do surgical masks protect against coronavirus?,Do surgical masks really work?,NA,health,national,2020-01-01
19,Fox News,"Making a coronavirus face mask: Dermatologist offers advice on best materials, how to soothe irritated skin","A dermatologist offers tips on the best materials to use when making a DIY face masks, how to soothe irritated skin, and more.",NA,health,national,2020-04-01
20,Fox News,Scientist demonstrates importance of coronavirus face mask use in unique airflow video,A scientist illustrates how face coverings can slow the spread of disease.,NA,health,national,2020-06-01
21,Fox News,Texas sheriffs refuse to enforce governor's mask mandate despite surge in coronavirus cases,"Several Texas sheriff’s offices and police departments have refused to enforce the governor’s recent executive order requiring face masks in public despite an increase in coronavirus hospitalizations and the statewide confirmed infection count nearing 230,000 as of Thursday.",NA,us,national,2020-06-27
22,Fox News,Texas judge’s 30-day coronavirus mask order blasted as 'ultimate government overreach',"A judge in Harris County, Texas, on Wednesday ordered residents to start wearing face masks in public for 30 days beginning next week. But the action drew immediate pushback – including from the state’s lieutenant governor.",NA,politics,national,2020-04-01
23,Fox News,"Disney World offering mask-free 'relaxation zones' upon reopening, Twitter calls move 'irresponsible'",Walt Disney World has reportedly opened several designated spaces throughout its theme parks where visitors can remove required facial coverings.,NA,travel,national,2020-01-01
24,Fox News,"Texas county judge's coronavirus mask order faces court challenge, hundreds of protesters",A Texas county judge’s 30-day coronavirus mask mandate is being challenged by a local doctor who claims the order requiring Houston-area residents to wear masks in public is “unconstitutional.”,NA,politics,national,2020-04-01
25,Fox News,Orange County remains battleground against California's coronavirus mask orders,"As coronavirus cases continue to rise in California, Orange County remains defiant against the state’s orders to wear a mask, raising questions as to how far officials are willing to go to enforce the measure.",NA,us,national,2020-06-26
26,Fox News,WHO guidance: Healthy people should wear masks only when 'taking care of' coronavirus patients,"The World Health Organization is recommending that healthy people, including those who don't exhibit COVID-19 symptoms, only wear masks when taking care of someone infected with the contagion, a sharp contrast from the advice of American public health officials who recommend everyone wear a mask in public.",NA,world,national,2020-05-01
27,Fox News,Upgrade your homemade coronavirus face mask by adding this basic clothing item,"A basic clothing item that you likely already have tucked away in a drawer could make your homemade coronavirus face mask more protective, according to a preliminary study.",NA,health,national,2020-04-01
28,Fox News,"Mass protests ‘ripped the mask off’ liberal media’s politicized coronavirus coverage, critics say",The coronavirus pandemic received wall-to-wall coverage by the mainstream media until it was overtaken by the mass protests of the in-custody death of George Floyd that have sparked chaos across the country.,NA,media,national,2020-06-01
29,Fox News,Video shows mob berating woman without coronavirus mask at Staten Island supermarket,Viral video shot at a supermarket on Staten Island in New York City shows a mob of angry shoppers in coronavirus masks cursing a woman without one.,NA,us,national,2020-05-01
30,Fox News,Oregon county's coronavirus mask order exempts 'people of color' who have 'heightened concerns about racial profiling',"Amid “heightened concerns about racial profiling and harassment,” a county in Oregon is allowing its residents of color to be in public without coronavirus face coverings, according to reports.",NA,us,national,2020-06-01
