Title,Title_link,Thumbnail,eyebrow,time,dek
Trump vows 'second wave' of coronavirus won't shut down US,https://www.foxnews.com/us/trump-vows-second-wave-of-coronavirus-wont-shut-down-us,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/05/156/88/TrumpMichigan052220.jpg?ve=1&tl=1,us,1 month ago,
"Trump, in Michigan: 'We're not going to close the country' if there's a 2nd wave of coronavirus cases",https://www.foxnews.com/politics/trump-michigan-coronavirus-second-wave-not-going-close-country,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/cc21b3de-5c31-4643-af85-ea4c4a4eba17/b63cf893-99b3-4a28-bc29-bce49ce20baf/1280x720/match/156/88/image.jpg?ve=1&tl=1,politics,1 month ago,"President Trump acknowledged on Thursday that there could be a second wave of the coronavirus epidemic later this year, but flatly stated he wouldn’t let any further outbreaks shutter the economy again."
"Second, deadlier wave of coronavirus could be on the way later this year, CDC director warns",https://www.foxnews.com/us/second-deadlier-wave-of-coronavirus-could-be-on-the-way-later-this-year-cdc-director-warns,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/04/156/88/Coronavirus2_042220.jpg?ve=1&tl=1,us,2 months ago,"President Trump acknowledged on Thursday that there could be a second wave of the coronavirus epidemic later this year, but flatly stated he wouldn’t let any further outbreaks shutter the economy again."
"South Korea struggles with new spikes, but WHO disputes claim of 'second wave'",https://www.foxnews.com/world/south-korea-struggles-with-new-spikes-but-who-disputes-claim-of-second-wave,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/05/156/88/seoul-1.jpg?ve=1&tl=1,world,3 days ago,"The country was touted as a prime example early during the pandemic, but has stumbled with a return to normal."
"Trump criticizes Sweden's no-lockdown stance after WHO praise, claims US made ‘correct decision’",https://www.foxnews.com/politics/trump-swedens-lockdown-who-praise,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/c2bdd748-5a57-4270-a09e-a6d649e178bf/f0453e04-3330-458b-bb58-12e0779100e9/1280x720/match/156/88/image.jpg?ve=1&tl=1,politics,2 months ago,"President Trump on Thursday took aim at Sweden’s decision to not order lockdowns in response to the coronavirus epidemic, claiming the U.S. made “the correct decision” after the World Health Organization praised the Scandinavian country’s more moderate approach."
"Fred Fleitz: After coronavirus pandemic ends, investigations must review responses by China, US and others",https://www.foxnews.com/opinion/coronavirus-china-fred-fleitz,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/f12e0a26-9fc6-440d-a7dc-63428e0840a8/917d9717-0413-4f3e-b178-2a6001cbe55b/1280x720/match/156/88/image.jpg?ve=1&tl=1,opinion,3 months ago,While work to find treatments and a vaccine to protect us from the coronavirus accelerates around the world – and as we sadly see a growing number of hospitalizations and deaths caused by the virus – it’s not too early to plan how to review the American and international responses to the pandemic once it has ended.
MSNBC anchor surprised by Trump's high approval ratings: People see him as a leader 'no matter what he says',https://www.foxnews.com/media/msnbc-andrea-mitchell-trump-approval,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2019/08/156/88/Andrea-Mitchell.jpg?ve=1&tl=1,media,3 months ago,MSNBC anchor Andrea Mitchell seemed surprised on Wednesday that people saw President Trump as a leader given the way he handled the coronavirus pandemic.
States send mixed messages on whether coronavirus rebound could trigger second round of shutdowns,https://www.foxnews.com/politics/states-send-mixed-messages-on-whether-coronavirus-rebound-could-trigger-second-round-of-shutdowns,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/b4be28da-6771-4e90-acc1-0c4bf791df8d/4e9f8d92-c098-4861-a33d-efe525beac5b/1280x720/match/156/88/image.jpg?ve=1&tl=1,politics,1 month ago,"As most states move to at least partially reopen their economies and lift orders requiring people to stay at home to slow the spread of the coronavirus, they are sending mixed messages on whether or not the controversial restrictions could be fully or partially re-implemented if there is another increase of cases."
More than 100 million people in China face new lockdown as second wave of COVID-19 cases emerge,https://www.foxnews.com/world/more-than-100-million-people-in-china-face-new-lockdown-as-second-wave-of-covid-19-cases-emerge,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/05/156/88/iStock-1212218902.jpg?ve=1&tl=1,world,1 month ago,Nearly 108 million people in China's Jilin province are being forced back on lockdown after a growing group of new coronavirus infections has triggered a backslide in the nation's push to return to normal.
"China reports largest uptick in coronavirus cases in more than a month, says most were 'imported'",https://www.foxnews.com/world/china-reports-largest-uptick-in-coronavirus-cases-in-more-than-a-month-says-most-were-imported,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/04/156/88/04_AP20100116687858.jpg?ve=1&tl=1,world,3 months ago,"China on Monday reported its largest uptick in new coronavirus infections in more than a month, but said most of them are imported."
