Title,Title_link,kicker,package1,Thumbnail
On the ground in Wisconsin: Trump’s team goes door-to-door while Democrats stay virtual amid the coronavirus,https://www.miamiherald.com/news/politics-government/national-politics/article243729837.html,National Politics,"June 23, 2020, 4:00 AM",
"As coronavirus grips red states, Trump falters and Biden steps up the attack",https://www.miamiherald.com/news/politics-government/national-politics/article243895757.html,National Politics,"June 30, 2020, 4:00 AM",
"‘We’ve done too good of a job,’ Trump says when asked about slowing COVID-19 testing",https://www.miamiherald.com/news/coronavirus/article243715197.html,Coronavirus,"June 22, 2020, 3:22 PM",https://www.mcclatchy-wires.com/incoming/esxfhd/picture243699972/alternates/LANDSCAPE_768/APTOPIX_Election_2020_Trump_86001.jpg
"New coronavirus spike alarms Republicans, but not Trump",https://www.miamiherald.com/news/politics-government/national-politics/article243811477.html,National Politics,"June 25, 2020, 4:00 AM",
AP FACT CHECK: Trump’s see-no-evil posture on coronavirus,https://www.miamiherald.com/news/article243842817.html,News,"June 27, 2020, 9:28 AM",https://www.mcclatchy-wires.com/incoming/6zsub8/picture243842802/alternates/LANDSCAPE_768/Fact_Check_Week_45136.jpg
All coronavirus and no campaign rallies. Does Donald Trump have a Florida problem?,https://www.miamiherald.com/news/politics-government/article242314201.html,Politics,"April 27, 2020, 3:45 PM",https://www.miamiherald.com/latest-news/4sdoon/picture238953398/alternates/LANDSCAPE_768/MIA_Evangelicals_For_Trump_(2)%20(4)
"Florida’s coronavirus outbreak complicates Republican convention, Trump’s reelection bid",https://www.miamiherald.com/news/politics-government/article243866487.html,Politics,"June 29, 2020, 4:56 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5618154292001/b2983c0d-0f93-4691-949d-833207b7806a/ae6dd85a-c30b-4da0-8123-d493b6f9fb6c/1280x720/match/image.jpg
"Elevated by coronavirus response, swing-state Democratic governors could boost Biden",https://www.miamiherald.com/news/politics-government/election/article243639412.html,Elections,"June 19, 2020, 5:00 AM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5615998022001/cbf0bc5b-c6ae-412f-a15a-20011cab402f/dda2854b-86f9-49f4-8c2b-99cede5fab1c/1280x720/match/image.jpg
The Latest: Coronavirus resurgence continues in South Korea,https://www.miamiherald.com/news/article243680222.html,News,"June 20, 2020, 11:05 PM",https://www.mcclatchy-wires.com/incoming/49qjrv/picture243654702/alternates/LANDSCAPE_768/Virus_Outbreak_Pakistan_00466.jpg
‘Don’t know how this is going to look.’ Trump team grapples with an upended campaign,https://www.miamiherald.com/news/politics-government/election/article241883006.html,Elections,"April 9, 2020, 1:40 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/jit/5615998022001/9c9c877d-b97a-41db-97a2-7963ef8bf43c/main/1280x720/35s904ms/match/image.jpg
Will Trump’s ‘Operation Warp Speed’ rush the science of a coronavirus vaccine?,https://www.miamiherald.com/news/coronavirus/article243773232.html,Coronavirus,"June 25, 2020, 9:00 AM",https://www.mcclatchy-wires.com/incoming/4fb3p9/picture243748867/alternates/LANDSCAPE_768/Virus_Outbreak_Congress_07932.jpg
The Latest: SKorea continues upward trend in new infections,https://www.miamiherald.com/news/article243729312.html,News,"June 23, 2020, 10:25 PM",https://www.mcclatchy-wires.com/incoming/9ytg9d/picture243729292/alternates/LANDSCAPE_768/Virus_Outbreak_India_75876.jpg
"Biden, Warren: There’s no oversight of coronavirus relief — because that’s what Trump wants",https://www.miamiherald.com/opinion/article242350451.html,Opinion,"May 3, 2020, 6:00 AM",https://pics.mcclatchyinteractive.com/incoming/usdn1l/picture242362021/alternates/LANDSCAPE_768/joe%20biden%20elizabeth%20warren.jpg
Experts warn of second coronavirus wave. Trump says he won’t shut down US if it comes,https://www.miamiherald.com/news/coronavirus/article242922741.html,Coronavirus,"May 22, 2020, 11:47 AM",https://www.miamiherald.com/latest-news/j1mu27/picture242922796/alternates/LANDSCAPE_768/AP20140795039101.jpg
Trump calls coronavirus ‘Kung flu’ and questions case count,https://www.miamiherald.com/news/politics-government/national-politics/article243692057.html,National Politics,"June 20, 2020, 4:00 AM",
