X1,Publication,Title,Tagline,Author,Category,City,Date
1,MSNBC,Trump's Stone sentence commutation slammed by Rep. Maxine Waters,"Donald Trump's sentence commutation for Roger Stone is slammed by Rep. Maxine Waters, as many comment on Stone not serving any time in prison for federal crimes, versus what poor and African-American people face in the criminal justice system.",AM Joy ,"Race, Equality , Criminal Justice | MSNBC, Society, Black Lives Matter, Donald Trump, Best of last night",national,  2020-07-12
2,MSNBC,Sharpton condemns Sen. Kelly Loeffler: 'You are the political...,"Sen. Kelly Loeffler, co-owner of the Atlanta Dream is called out by Rev. Al Sharpton after asking the WNBA to 'remove politics from sports'.",PoliticsNation with Al Sharpton ,"Sports, Black Lives Matter, Best of last night",national,  2020-07-12
3,MSNBC,Sydney Colson: ‘Black Lives Matter is a human rights statement’,"Sydney Colson, a player for the WNBA’s Chicago Sky, calls Sen. Loeffler’s comments on the divisiveness of Black Lives Matter “absurd.”",,"Race, Equality , Sports, Black Lives Matter, Best of last night",national,2020-07-12  
4,MSNBC,"'Stop and look, Black lives matter': Rev. Al Sharpton reacts...",Rev. Al Sharpton highlights the symbolism of the Black Lives Matter mural being painted outside of Trump Tower.,PoliticsNation with Al Sharpton ,"Al Sharpton, Black Lives Matter, New York, Donald Trump, Best of last night",national,  2020-07-12
5,MSNBC,Louisville mayor on Breonna Taylor investigation: 'We're all...,"Rev. Al Sharpton takes Mayor Greg Fischer of Louisville, Kentucky to task on the Breonna Taylor investigation.",PoliticsNation with Al Sharpton ,"Civil Rights, Black Lives Matter, Best of last night, Kentucky",national,  2020-07-11
6,MSNBC,"Black Lives Matter opposed by senator, a WNBA team co-owner","Black Lives Matter came under fire from U.S. Senator Kelly Loeffler, who is also a WNBA co-owner of an Atlanta team. Joy Reid and her panel discuss the backlash against Loeffler, who said she opposes the WNBA supporting the Black Lives Matter movement.",AM Joy ,"Republicans, Senate, Black Lives Matter, Georgia, Sports, Black Lives Matter, Women in Politics",national,  2020-07-11
7,MSNBC,Sen. Harris: Trump does not feel that Black Lives Matter,"Senator Kamala Harris (D-CA) tells Lawrence O'Donnell that Donald Trump fuming about a Black Lives Matter sign in front of Trump Tower is why the attention should be focused on passing the George Floyd Justice and Policing Act. Sen. Harris says, ""We have",The Last Word with Lawrence O'Donnell ,"Race, Equality , Black Lives Matter, Black Lives Matter, Police Brutality, Donald Trump, Best of last night",national,  2020-07-09
8,MSNBC,New audio of police interviews sheds light on police probe of...,Previously unheard interviews from the police probe of Breonna Taylor's shooting reveal new details and a police interview with a fellow cop.,Hardball with Chris Matthews ,Black Lives Matter,national,  2020-07-09
9,MSNBC,NYC paints Black Lives Matter mural in front of 5th Avenue...,New York City on Thursday shut down a block of Fifth Avenue in front of Trump Tower and painted a Black Lives Matter mural.,Hardball with Chris Matthews ,Black Lives Matter,national,  2020-07-09
10,MSNBC,McQuade: New audio reveals questioner 'coaching' officer in...,"Former U.S. Attorney Barbara McQuade says ""warrants should be executed during the light of day"" after listening to audio from the night of, and weeks after, Breonna Taylor's shooting.",,,national,2020-07-09  
11,MSNBC,Officer's motion to dismiss in Floyd trial reveals body cam...,"""In [training materials], you see a ... depiction of an officer using his knee to restrain a subject ... in the neck area,"" NBC News Political Reporter Shaw Brewster said.",,,national,2020-07-09  
12,MSNBC,New George Floyd evidence shows he pleaded 'I can't breathe'...,"The newly released transcripts reveal more context about George Floyd’s death, taken directly from police body cameras. The new information highlights Floyd’s acute concern he would be killed by the police and his last words for his family. Attorney and",,"Black Lives Matter, Black Lives Matter, Police Brutality, Best of last night",national,2020-07-09  
13,MSNBC,NYC set to begin Black Lives Matter mural on Fifth Avenue,New York City is set to begin painting a Black Lives Matter mural down Fifth Avenue at the foot of Trump Tower. The Morning Joe panel discusses.,Morning Joe  ,"Equality , Race, Donald Trump, Best of last night",national,  2020-07-09
14,MSNBC,'I wasn't listening': How protests and hip hop are sparking a...,"MSNBC anchor Ari Melber quotes MSNBC viewers of all ages to explore how views and conversations are shifting about race, civil rights and hip hop. Melber quotes one mother who wrote into The Beat to relay how after watching the show's special report about",,"Race, Equality , Civil Rights, Black Lives Matter, Police Brutality",national,2020-07-07  
15,MSNBC,'Removing statues is not enough': Michael Eric Dyson calls for...,MSNBC's Craig Melvin navigates the complicated argument over monuments and discusses the history behind them with Georgetown University Professor Michael Eric Dyson.,,Black Lives Matter,national,2020-07-07  
16,MSNBC,What James Baldwin's work means for a nation having a...,"Eddie Glaude, Jr. joins to discuss his new biography on the late, great American writer James Baldwin and the lessons his thoughts on race still hold for America in the age of Trump.",The 11th Hour with Brian Williams ,"Society, Republicans, Equality , Race, Culture, White House, White House, Black Lives Matter, Black Lives Matter, Donald Trump, Best of last night, history",national,  2020-07-06
17,MSNBC,Black Lives Matter protests coincide with viral racist incidents,Black Lives Matter and George Floyd protests have coincided with an apparent rise in viral racist incidents captured on video. Tiffany Cross in for Joy Reid and her panel discuss these shocking viral videos sparking debates on the state of race relations,AM Joy ,"Race, Equality , Guns, Society, Black Lives Matter, Black Lives Matter, Best of last night",national,  2020-07-05
18,MSNBC,Memo to Trump: 'You've referred to the movement for Black...,Rev. Al Sharpton addresses the president's glaring dismissal of the Black Lives Matter movement and its commitment to communities of color.,PoliticsNation with Al Sharpton ,"Black Lives Matter, Donald Trump, Best of last night",national,  2020-07-04
19,MSNBC,NFL responses to Floyd protests analyzed by sports journalists,"Is the NFL doing enough in the wake of the George Floyd protests and other calls for greater social equality? Black sports journalists respond to the NFL announcing that the black national anthem will be played at some games, plus news that the name of",AM Joy ,"Race, Equality , Black Lives Matter, NFL, Sports, Best of last night",national,  2020-07-04
20,MSNBC,'He's not in touch with reality': Artist on Trump saying...,"NBC News' Gary Grumbach reports from Harlem, where new Black Lives Matter murals are being paint in New York City's streets - and across all five of the city's boroughs. President Trump previously decried Mayor Bill de Blasio's plans to paint ""Black Lives",Weekends with Alex Witt ,"Race, Equality , Black Lives Matter, Police Brutality, New York, Donald Trump",national,  2020-07-04
21,MSNBC,"'Strange Fruit': How Black artists defied U.S. racism, got it...","As protests force a reckoning on policing, MSNBC’s Ari Melber reports on how Black activists and artists have confronted government racism, both in their work and their own lives. Tracing political and musical history ranging from Sam Cooke and Billie",,"Music, Black Lives Matter, Police Brutality, Best of last night",national,2020-07-03  
22,MSNBC,Trump focusing on re-election instead of coronavirus crisis,"Trump is spending his time attacking Black Lives Matter and defending Confederate monuments, leaning into the divisive politics that got him elected as the coronavirus pandemic rages across the nation. Ashley Parker joins to discuss.",The 11th Hour with Brian Williams ,"Republicans, Equality , Civil Liberties, Society, Race, National Security, Health, Global Health, Civil Rights, White House, White House, Police Brutality, Donald Trump, Best of last night",national,  2020-07-02
23,MSNBC,NYT Op-Ed: ‘You Want a Confederate Monument? My Body Is a...,"Writer and poet Caroline Randall Williams joins Lawrence O’Donnell to discuss how her ancestry influenced her new piece in the New York Times, why it’s “fundamentally inaccurate” to refer to Confederate soldiers as American heroes, and how she’s",The Last Word with Lawrence O'Donnell ,"Race, Equality , Black Lives Matter, Best of last night",national,  2020-07-02
24,MSNBC,Trump is 'swimming against the tide of history' on racial justice,"Is Trump ""swimming against the tide of history"" on race relations in America? Donna Edwards and David Jolly join to discuss.",The 11th Hour with Brian Williams ,"Equality , Civil Liberties, Society, Race, Civil Rights, Black Lives Matter, Police Brutality, Donald Trump, Best of last night",national,  2020-07-02
25,MSNBC,NYC announces 'profound' changes to police department,NYC Mayor Bill de Blasio joins Morning Joe to discuss a new city budget that includes significant changes to the NYPD. Mayor De Blasio also says the city will have 'Black Lives Matter' painted on Fifth Avenue in front of Trump Tower in 'a matter of days.',Morning Joe  ,"Policing, Best of last night, Bill de Blasio",national,  2020-07-01
26,MSNBC,"New Orleans mayor on police brutality: Transparency,...","Mayor Cantrell on police brutality: ""We believe that transparency is very important and it goes hand and hand with accountability. That builds trust in your community and it has built trust within the City of New Orleans.""",All In with Chris Hayes ,"Race, Equality , Black Lives Matter, Police Brutality, Best of last night, Louisiana",national,  2020-06-30
27,MSNBC,"Minneapolis mayor says he’s ‘on the side of massive,...","""This needs to be a full rethinking and reshaping of the way that our police department does business that has for decades has harmed Black and brown people,"" says Mayor Frey of Minneapolis.",All In with Chris Hayes ,"Race, Equality , Minnesota, Black Lives Matter, Police Brutality, Best of last night",national,  2020-06-30
28,MSNBC,L.A. mayor: Police shouldn’t be solution to everything,"""It's also about what we can do to make sure that police aren't always the solution to everything,"" Mayor Garcetti says. ""To look at what we can do in a mental health crisis to have trained professionals ... who can roll out and maybe have better and more",All In with Chris Hayes ,"Race, Equality , Black Lives Matter, California, Police Brutality, Best of last night",national,  2020-06-30
29,MSNBC,Police in riot gear confront peaceful violin vigil for Elijah...,"Chris Hayes: “People congregated to pay tribute to him, to call for accountability for his death, and to play their violins in his honor. And then Aurora police basically recreated the dynamic of McClain's death.”",All In with Chris Hayes ,"Race, Equality , Black Lives Matter, Police Brutality, Best of last night, Colorado",national,  2020-06-29
30,MSNBC,See Michelle Obama demand 'justice for Black lives' in moving...,"After George Floyd’s death and protests across the globe, the 2020 BET Awards offered a platform for social activism. MSNBC’s Ari Melber touches on some of the night’s biggest moments, from Chuck D’s remix of Public Enemy’s 1989 classic “Fight The Power”",,"Beyoncé, Black Lives Matter, Michelle Obama, Best of last night",national,2020-06-29  
31,MSNBC,'Tradition has not worked for us': See Maxine Waters ask BLM...,"Longtime Civil Rights leader and pioneer Rep. Maxine Waters joins The Beat with Ari Melber to discuss the court appearance of the officers involved in the killing of George Floyd, and the latest developments in the historic case. In this exchange with",,"Race, Equality , Black Lives Matter, Police Brutality, Best of last night",national,2020-06-29  
32,MSNBC,America In Crisis: Turning Fear Into Art,"Kitty Lundan, singer and host of The People of Power Show, joins MSNBC’s Richard Lui to discuss her music video called ""Now I Can't Breathe"" as a commentary on her fears of raising 2 Black sons in the current racial climate.",,,national,2020-06-29  
33,MSNBC,Streaming Services Shine Spotlight on Life In Black America,"Popular streaming services, such as Netflix and Amazon Prime, have developed specific playlists that non-Black people can use to learn about the importance of the Black Lives Matter movement and educate themselves about the experiences of Black Americans.",,,national,2020-06-28  
34,MSNBC,A look at the life of Elijah McClain,"As the nation looks ahead in seeking justice for Elijah McClain, David Gura takes a look back on McClain’s life from the people who were close to him. McClain died last August after a police encounter when he was walking home.",,"Race, Equality",national,2020-06-28  
35,MSNBC,Rep. Gwen Moore: Police recruitment is a ‘ridiculous’ reason...,"Democratic Rep. Gwen Moore of Wisconsin, a member of the Congressional Black Caucus, says police departments should focus on attracting officers willing to be held accountable for misconduct.",,"Race, Equality , Policing, Black Lives Matter, Police Brutality, Best of last night",national,2020-06-27  
36,MSNBC,Rashad Robinson: Facebook offered ‘lip service’ until big...,"Color of Change president Rashad Robinson, whose organization leads the #StopHateForProfit campaign, says the Facebook boycott has given corporate advertisers the chance to follow through on their statements supporting #BlackLivesMatter.",,"Media News, Video, Top Stories and Community | MSNBC, Society, Race, Equality , Corporations, Economy, Best of last night",national,2020-06-27  
37,MSNBC,"Nikole Hannah-Jones: ‘In a transformational moment, we have to...",Pulitzer Prize-winning creator of the New York Times Magazine’s 1619 Project Nikole Hannah-Jones explains why reparations are the solution to the centuries-long exploitation of Black labor.,,"Race, Equality , Poverty, Economy, Black Lives Matter, Best of last night",national,2020-06-27  
38,MSNBC,"If chosen as Biden’s running mate, how would Rep. Val Demings...",Congresswoman Val Demings was asked in the town hall how she should work with Black Lives Matter to address racial justice if she becomes the Vice Presidential candidate.,Hardball with Chris Matthews ,Black Lives Matter,national,  2020-06-26
39,MSNBC,Police unions under scrutiny amid calls for reform,"Activist Brittany Packnett Cunningham asks the panel how they plan to respond to police union resistance to reform: “What are you going to do to make sure as laws change, and as progress is made across the country, that police unions don’t simply come",Hardball with Chris Matthews ,Black Lives Matter,national,  2020-06-26
40,MSNBC,What comes next for the Black Lives Matter movement?,University of Michigan Professor of African-American Studies Keith Mayes joins to discuss new police reform legislation passed by the House and what comes next for the larger Black Lives Matter movement.,The 11th Hour with Brian Williams ,"Civil Liberties, Society, Race, Equality , Civil Rights, Capitol Hill, Congress, Nancy Pelosi, Police Brutality, Donald Trump, Best of last night",national,  2020-06-25
