"","Publication","Title","Tagline","Author","Category","City","Date"
"1","MSNBC","Trump wanting schools opened without proper preparation resisted","Donald Trump wanting schools reopened during the pandemic without what many authorities see as proper preparation is being resisted by many, including leaders demanding more federal government resources for schools, teachers, and support staff. Joy Reid","AM Joy ","Education, Donald Trump","national"," 4:46 PM 7/12/2020"
"2","MSNBC","Trump and Reopen Schools Safely Act discussed by Sen. Stabenow","Donald Trump and Betsy DeVos’s push to reopen public schools, the president’s widely criticized COVID-19 pandemic response, and the Reopen Schools Safely Act are discussed by Sen. Debbie Stabenow in conversation with Joy Reid.","AM Joy ","Education, Senate, Donald Trump","national"," 4:12 PM 7/12/2020"
"3","MSNBC","White House works to discredit Dr. Fauci as coronavirus surges...","As coronavirus continues to surge in states across the U.S. White House officials are distancing themselves from Dr. Anthony Fauci, the nation’s leading infectious disease expert. NBC News’ Josh Lederman reports on how the White House is working to",NA,NA,"national","7/12/20 15:14"
"4","MSNBC","States Across U.S Continue to Break Coronavirus Records","As caseloads, death tolls and hospitalizations continue to rise across the country, President Trump wore a mask in public for the first time. Dr. Ebony Hilton, Associate Professor of Anesthesiology and Critical Care Medicine at the University of Virginia",NA,NA,"national","7/11/20 23:03"
"5","MSNBC","‘Politicians who don’t know what they’re doing should be...","As coronavirus hot spots bubble up across the country, the debate over if and how schools should reopen rages on. MSNBC’s Alicia Menendez speaks with Lily Eskelsen Garcia, President of the National Education Association, about how teachers are responding",NA,"Education","national","7/11/20 18:12"
"6","MSNBC","Coronovirus hits over 70,000 U.S. cases in single day","COVID-19 has hit over 70,000 U.S. cases in a single day, as the World Health Organization confirms that the coronavirus can linger in the air. Joy Reid and her panel discuss what this could mean for the possibility of schools reopening across America.","AM Joy ","Health, Education, Florida, Donald Trump","national"," 3:01 PM 7/11/2020"
"7","MSNBC","Sly James: ‘Reacting to Donald Trump is simply catching a...","Sly James, former mayor of Kansas City, MO, argues that the COVID crisis is an opportunity for Democrats to focus on constituents and the policies that support them.",NA,"Democrats , Donald Trump, Best of last night","national","7/11/20 14:21"
"8","MSNBC","Trump says U.S. doing fine as 70,000 new COVID-19 cases...","The president says the country is doing fine as COVID-19 cases rage out of control in dozens of states and the nation hits another single-day nationwide record for new cases.","The 11th Hour with Brian Williams ","Republicans, National Security, Health, Global Health, White House, White House, Donald Trump, Best of last night","national"," 11:18 PM 7/10/2020"
"9","MSNBC","Chris Hayes: GOP is becoming a pro-virus party before our eyes","Chris Hayes on GOP: “This party is intellectually bankrupt, and entirely unable to meet the moment. It is so corroded ... that it will revolt against one of its own members when they do something right to fight the plague to save lives. It’s becoming a","All In with Chris Hayes ","Republicans, Health, Lindsey Graham, White House, Senate, Ted Cruz, Texas, Donald Trump, Best of last night","national"," 9:25 PM 7/10/2020"
"10","MSNBC","Steve Schmidt on Ted Cruz, Josh Hawley: ‘Small and silly men...","Steve Schmidt on GOP leaders: “Not only are they demagogues and silly people, they’re just empty vessels. They’re the type of soulless men and women we see in this terrible age that care nothing of the ideas and ideals of this country.”","All In with Chris Hayes ","Republicans, White House, Ted Cruz, Texas, Donald Trump, Best of last night","national"," 9:05 PM 7/10/2020"
"11","MSNBC","Approval of Trump’s handling of coronavirus in sharp decline","Steve Kornacki takes a look at new polling that shows a deep decline in approval for President Donald Trump’s handling of the coronavirus.","Hardball with Chris Matthews ","Donald Trump","national"," 7:39 PM 7/10/2020"
