X1,Publication,Title,Tagline,Author,Category,City,Date
1,msnbcmask,Dr. Gupta: Bandana masks 'don't do a darn thing',Dr. Vin Gupta discusses what needs to be done in order to flatten the curve in coronavirus hotspots in the United States.,MTP Daily ,,national,  2020-07-13
2,msnbcmask,Public health and teaching experts weigh in on plans to safely...,"Dr. Zeke Emanuel, Vice Provost of Global Initiatives at the University of Pennsylvania, and Lily Eskelsen Garcia, the president of the National Education Association, join Andrea Mitchell to discuss plans on reopening schools. Dr. Emanuel says that it can",Andrea Mitchell Reports ,"Education, Donald Trump",national,  2020-07-13
3,msnbcmask,States Across U.S Continue to Break Coronavirus Records,"As caseloads, death tolls and hospitalizations continue to rise across the country, President Trump wore a mask in public for the first time. Dr. Ebony Hilton, Associate Professor of Anesthesiology and Critical Care Medicine at the University of Virginia",,,national,2020-07-11  
4,msnbcmask,Gov. Andy Beshear: ‘Grateful’ that Mitch McConnell is...,Gov. Andy Beshear (D-Ky.) discusses the legal battle over mandating masks in the state and Senate Majority Leader Mitch McConnell’s (R-Ky.) decision to talk about wearing masks in public.,,,national,2020-07-10  
5,msnbcmask,Phoenix Mayor: Arizona mayors want a 'statewide mask program',"Mayor Kate Gallego of Phoenix, Arizona discusses the surge of coronavirus cases in the state.",,,national,2020-07-10  
6,msnbcmask,"After masks, is Trump now politicizing reopening schools?",First it was wearing face masks but is Trump now politicizing reopening schools? Jonathan Lemire joins to discuss.,The 11th Hour with Brian Williams ,"Republicans, National Security, Health, Global Health, White House, White House, Donald Trump, Best of last night",national,  2020-07-08
7,msnbcmask,"In New Jersey, masks now required in outdoor public areas",New Jersey Gov. Phil Murphy announces he is signing a new executive order on Wednesday requiring face coverings indoors and outdoors when social distancing is not possible. Gov. Murphy also discusses the possibility of school in the fall and why casinos,Morning Joe  ,"Health, Economy, New Jersey, Best of last night",national,  2020-07-08
8,msnbcmask,Virus Spreading Fast in Houston,"Dr. Marc Boom, CEO of Houston Methodist in Houston, discusses the dramatic rise in patients since Memorial Day and why he is urging the public to wear masks when outside.",,,national,2020-07-07  
9,msnbcmask,"Virus is 'spreading rapidly' through Houston, says doctor","Dr. Marc Boom, CEO of Houston Methodist in Houston, discusses the dramatic rise in patients since Memorial Day and why he is urging the public to wear masks when outside.",Morning Joe  ,"Health, Economy, Donald Trump, Best of last night",national,  2020-07-07
10,msnbcmask,Dr. advocates mask enforcement,"Dr. Vin Gupta joins Morning Joe to discuss rising COVID infection rates around the U.S., why he's urging the country's restaurants to not have indoor dining and why he's calling on Govs. DeSantis and Abbott to deploy assets to help battle the virus.",,,national,2020-07-07  
11,msnbcmask,Doctor advocates mask enforcement to control virus,"Dr. Vin Gupta joins Morning Joe to discuss rising coronavirus infection rates around the U.S., why he's urging the country's restaurants to not have indoor dining and why he's calling on Govs. DeSantis and Abbott to deploy assets to help battle the virus.",Morning Joe  ,"Health, Economy, Donald Trump, Best of last night",national,  2020-07-07
12,msnbcmask,Texas breaks COVID-19 case record over July 4th weekend,"Dr. Alison Haddock discusses Texas' record number of coronavirus cases and says that Gov. Abbot's mandatory mask order is an ""important step.""",MTP Daily ,,national,  2020-07-06
13,msnbcmask,Trump campaign ‘encourages’ masks at New Hampshire rally,"President Trump will provide masks at his next rally in Portsmouth, N.H. This is a change from his past rallies where he did not encourage wearing a mask amid the coronavirus pandemic.",,,national,2020-07-05  
14,msnbcmask,"COVID-19 case spikes via July 4th, summer fun feared by doctor","Coronavirus cases could spike through large, public gatherings this July 4th weekend and beyond, as Dr. Corey Hébert expresses his alarm that so many Americans are not wearing masks and social distancing while still in phase one of the COVID-19 outbreak.",AM Joy ,"Health, Best of last night",national,  2020-07-05
15,msnbcmask,Trump ‘allowed masks to become political’ former GOPer says,Donald Trump ‘allowed masks to become political’ renounced GOPer and former Republican congressman David Jolly tells Tiffany Cross in for Joy Reid.,AM Joy ,"Republicans, Donald Trump",national,  2020-07-04
16,msnbcmask,ER Doctor on U.S. pandemic approach: ‘Pushing responsibility...,"Dr. Mario Ramirez, an emergency room physician treating COVID-19 patients, joins Andrea Mitchell to discuss the ""concerning"" news of the pandemic's rise in the southwest region, saying he is ""hopeful that things will get better"" in Texas after Governor",Andrea Mitchell Reports ,"Health, Texas",national,  2020-07-03
17,msnbcmask,Masks are a means to freedom from coronavirus and its burdens,Former HHS Assistant Secretary Dr. Howard Koh talks with Rachel Maddow about why wearing a mask to help stem the spread of coronavirus is a better way to promote freedom than not wearing a mask.,The Rachel Maddow Show ,"Health, Best of last night",national,  2020-07-02
18,msnbcmask,Houston Mayor: ‘We are getting very close to our bed capacity’,"Texas Gov. Greg Abbott changed course Thursday and made the wearing of masks in public mandatory in any county with 20 or more cases. Asked about hospital capacity as coronavirus cases increase in his city, Houston Mayor Sylvester Turner says, “Things are",Hardball with Chris Matthews ,Texas,national,  2020-07-02
19,msnbcmask,President of Houston Methodist Hospital on mask order: I...,"President and CEO of Houston Methodist Hospital reacts to Gov. Abbott’s mask order that was announced today saying, “I feel much better this afternoon than I did starting my day today.”",MTP Daily ,Best of last night,national,  2020-07-02
20,msnbcmask,Gupta: DeSantis 'acting irresponsibly' in Florida's...,"Dr. Vin Gupta, a pulmonologist and assistant professor at the University of Washington's Department of Health Metrics Science, joins Andrea Mitchell to discuss the coronavirus crisis, urging a nationwide mandate on wearing masks to curb the pandemic, and",Andrea Mitchell Reports ,"Health, Florida",national,  2020-07-02
21,msnbcmask,Trump repeats hope COVID-19 will ‘disappear’ amid renewed...,"Despite day after day of record-breaking spikes in coronavirus cases, despite nearly 130,000 U.S. dead, President Trump repeated his claim that the virus would soon ‘disappear.’ Meanwhile, some states are still reluctant to implement any kind of shutdown",,Health,national,2020-07-02  
22,msnbcmask,Mask Confusion: Melvin asks health experts your questions on...,"MSNBC's Craig Melvin asks your questions on coronavirus and safety to Baltimore City, Former Health Commissioner, Dr. Leana Wen, and Houston Health Department Epidemiology Bureau Chief, Kirstin Short.",,,national,2020-07-01  
23,msnbcmask,Myrtle Beach Mayor calls mandate for masks 'crucial' ahead of...,NBC's Dasha Burns speaks with Mayor Brenda Bethune about her concerns surrounding the approaching July 4th weekend and uptick in COVID-19 cases in her county.,,South Carolina,national,2020-07-01  
