X1,Publication,Title,Tagline,Author,Category,City,Date
1,Fox News,Trump vows 'second wave' of coronavirus won't shut down US,NA,NA,us,national,2020-06-01
2,Fox News,"Trump, in Michigan: 'We're not going to close the country' if there's a 2nd wave of coronavirus cases","President Trump acknowledged on Thursday that there could be a second wave of the coronavirus epidemic later this year, but flatly stated he wouldn’t let any further outbreaks shutter the economy again.",NA,politics,national,2020-06-01
3,Fox News,"Second, deadlier wave of coronavirus could be on the way later this year, CDC director warns","President Trump acknowledged on Thursday that there could be a second wave of the coronavirus epidemic later this year, but flatly stated he wouldn’t let any further outbreaks shutter the economy again.",NA,us,national,2020-05-01
4,Fox News,"South Korea struggles with new spikes, but WHO disputes claim of 'second wave'","The country was touted as a prime example early during the pandemic, but has stumbled with a return to normal.",NA,world,national,2020-06-28
5,Fox News,"Trump criticizes Sweden's no-lockdown stance after WHO praise, claims US made ‘correct decision’","President Trump on Thursday took aim at Sweden’s decision to not order lockdowns in response to the coronavirus epidemic, claiming the U.S. made “the correct decision” after the World Health Organization praised the Scandinavian country’s more moderate approach.",NA,politics,national,2020-05-01
6,Fox News,"Fred Fleitz: After coronavirus pandemic ends, investigations must review responses by China, US and others",While work to find treatments and a vaccine to protect us from the coronavirus accelerates around the world – and as we sadly see a growing number of hospitalizations and deaths caused by the virus – it’s not too early to plan how to review the American and international responses to the pandemic once it has ended.,NA,opinion,national,2020-04-01
7,Fox News,MSNBC anchor surprised by Trump's high approval ratings: People see him as a leader 'no matter what he says',MSNBC anchor Andrea Mitchell seemed surprised on Wednesday that people saw President Trump as a leader given the way he handled the coronavirus pandemic.,NA,media,national,2020-04-01
8,Fox News,States send mixed messages on whether coronavirus rebound could trigger second round of shutdowns,"As most states move to at least partially reopen their economies and lift orders requiring people to stay at home to slow the spread of the coronavirus, they are sending mixed messages on whether or not the controversial restrictions could be fully or partially re-implemented if there is another increase of cases.",NA,politics,national,2020-06-01
9,Fox News,More than 100 million people in China face new lockdown as second wave of COVID-19 cases emerge,Nearly 108 million people in China's Jilin province are being forced back on lockdown after a growing group of new coronavirus infections has triggered a backslide in the nation's push to return to normal.,NA,world,national,2020-06-01
10,Fox News,"China reports largest uptick in coronavirus cases in more than a month, says most were 'imported'","China on Monday reported its largest uptick in new coronavirus infections in more than a month, but said most of them are imported.",NA,world,national,2020-04-01
11,Fox News,"China reports largest uptick in coronavirus cases in more than a month, says most were 'imported'","China on Monday reported its largest uptick in new coronavirus infections in more than a month, but said most of them are imported.",NA,world,national,2020-04-01
12,Fox News,Ex-NYT reporter Berenson warns of 'big pivot' from officials to justify lockdown strategy,Former New York Times reporter Alex Berenson -- who has quickly become of one of the key figures in a growing movement questioning the strategy to lock down large sections of the country in response to the coronavirus crisis -- is warning of a “big pivot” in rhetoric from politicians and health officials pushing the strategy.,NA,politics,national,2020-04-01
13,Fox News,Sen. Tim Kaine and wife test positive for coronavirus antibodies,"Virginia Democratic Sen. Tim Kaine and his wife have tested positive for coronavirus antibodies, according to the senator's office, a result that if accurate would indicate that both the former Democratic vice-presidential nominee and his spouse had the disease earlier this year as the pandemic as spread across the U.S., killing more than 100,000 Americans.",NA,politics,national,2020-06-01
14,Fox News,"Coronavirus experts send mixed messages on transmission, potential second wave","Virginia Democratic Sen. Tim Kaine and his wife have tested positive for coronavirus antibodies, according to the senator's office, a result that if accurate would indicate that both the former Democratic vice-presidential nominee and his spouse had the disease earlier this year as the pandemic as spread across the U.S., killing more than 100,000 Americans.",NA,transcript,national,2020-06-01
15,Fox News,"Kudlow: There is no 'second spike' in COVID-19 cases, not going to shut down economy","White House National Economic Council Director Larry Kudlow reported Friday that U.S. health experts told him there is no second spike of the coronavirus, but that certain spots are seeing a ""jump up.""",NA,media,national,2020-06-01
16,Fox News,"Ari Fleischer: Donald Trump, Barack Obama and a second wave terror threat",Fear of terrorism in the United States is helping drive Donald Trump’s candidacy.,NA,opinion,national,2015-01-01
17,Fox News,Trump to 'suspend immigration into the United States' by executive order amid coronavirus,"President Trump announced late Monday he will soon sign an executive order ""to temporarily suspend immigration into the United States"" in a drastic escalation of his efforts to fight the coronavirus pandemic and boost the economy.",NA,politics,national,2020-05-01
18,Fox News,Could George Floyd protesters cause a spike in coronavirus cases? Johns Hopkins doctor explains,"Fox News spoke with Dr. Amesh Adalja, an infectious disease physician and senior scholar for Johns Hopkins Center for Health Security, who says mass gatherings won’t help herd immunity anytime soon.",NA,media,national,2020-06-01
19,Fox News,Trump 'disagrees strongly' with Georgia governor's plan to reopen some businesses,"In a head-turning moment at Wednesday's coronavirus briefing, President Trump told reporters that he ""disagrees strongly"" with Georgia Republican Gov. Brian Kemp's plan to reopen some businesses in his state, including gyms, barbershops and nail salons, on Friday.",NA,politics,national,2020-05-01
20,Fox News,"Coronavirus: Trump has declared major disaster in all 50 states at once, first time in history","President Trump issued a major disaster declaration for Wyoming on Saturday, meaning that there is now such a declaration within all 50 states due to the COVID-19 pandemic.",NA,politics,national,2020-04-01
21,Fox News,Wuhan tested millions of people for COVID-19 in just days: Could US cities do the same?,"The city of Wuhan, China, where the COVID-19 outbreak first emerged, recently launched a campaign to test every one of its 11 million residents for the virus.",NA,science,national,2020-06-01
22,Fox News,"US coronavirus cases surpass 2M, spike in many areas while Europe’s decline, CDC says","Confirmed cases of the coronavirus passed the 2 million mark in the U.S. on Wednesday, with infection rates in many areas appearing to spike -- despite declines in infections throughout Europe, according to a report.",NA,health,national,2020-06-01
23,Fox News,Inside China's high-stakes campaign to smear the United States over coronavirus,It's a high-stakes strategy for the Asian nation fighting to keep its superpower status amid a national lockdown and palpable anger over claims of a cover-up made worse by an economic crisis.,NA,us,national,2020-03-01
24,Fox News,Is there reason to panic about a second wave of coronavirus?,It's a high-stakes strategy for the Asian nation fighting to keep its superpower status amid a national lockdown and palpable anger over claims of a cover-up made worse by an economic crisis.,NA,transcript,national,2020-06-01
25,Fox News,Cruz rolls out bill to provide tax credits to businesses who test employees for coronavirus weekly,Sen. Ted Cruz on Tuesday rolled out new legislation that would provide tax credits to businesses that plan to test employees for the novel coronavirus every week in states where the infection rates are above the national average.,NA,politics,national,2020-06-01
26,Fox News,Bernie Sanders blasts Trump's planned rally: 'Literally incomprehensible',"Sen. Bernie Sanders, I-Vt., the former presidential contender, blasted President Trump on Wednesday for hosting a large rally in Oklahoma this weekend amid the coronavirus outbreak simply “to hear cheers from his supporters.”",NA,politics,national,2020-06-17
27,Fox News,"As Trump attacks WHO in a letter, member states remain loyal amid coronavirus pandemic","President Trump’s letter of warning to the World Health Organization (WHO) was met with dismissal from member states during the WHO Tuesday, as nations remained loyal to the organization rather than back the U.S.",NA,world,national,2020-06-01
28,Fox News,Dr. Siegel offers positive outlook on dealing with 'second wave' of COVID-19 in fall,"Dr. Marc Siegel told “Outnumbered’ on Wednesday that while the Centers for Disease Control and Prevention believes the coronavirus will have a second wave later in the year, the “good news” is that the United States is seeing “flattening of cases.”",NA,media,national,2020-05-01
29,Fox News,Online petition urges Disneyland Resort not to reopen amid fears of second coronavirus wave: 'Irresponsible',They think it’s downright goofy to open back up.,NA,travel,national,2020-06-01
30,Fox News,Jim Hanson: Iran’s aggression may force Trump to launch military attack,The patience of the Trump administration with Iranian aggression is running out. A US military attack on Iran may be coming.,NA,opinion,national,2019-01-01
31,Fox News,Kellyanne Conway slams Twitter's Trump fact-checks: They're done by 'people who attack him all day long',"In a sharp rebuke of Twitter's first-ever move to fact-check a tweet by President Trump, White House adviser to the president Kellyanne Conway insisted Wednesday that Democrats within the mainstream media cannot be relied upon.",NA,media,national,2020-06-01
32,Fox News,Trump says 'scariest day of my life' was being told US was short on ventilators,"President Trump called it the ""scariest day of [his] life,"" when he learned the United States might not have enough ventilators to fight the novel coronavirus (COVID-19), during a White House press briefing on Tuesday.",NA,politics,national,2020-04-01
33,Fox News,Pete Buttigieg: States doing 'most of the work' on coronavirus because Trump has failed,Former Indiana Mayor Pete Buttigieg said on Thursday that state and local governments have had to pick up the slack on the coronavirus as President Trump has failed to respond sufficiently.,NA,media,national,2020-04-01
34,Fox News,Coronavirus testing kits to be provided by South Korea after Trump call,Officials in South Korea said Wednesday that they plan to provide coronavirus testing kits to the U.S. after President Trump made a request for help to cope with the pandemic.,NA,world,national,2020-04-01
35,Fox News,"Trump defends early coronavirus actions in contentious briefing, as Fauci regrets ‘poor choice of words’","President Trump on Monday mounted a heated defense of his response to coronavirus during a combative briefing, as Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, attempted to clarify his comment a day earlier that lives could have been saved had U.S. officials acted earlier.",NA,politics,national,2020-04-01
36,Fox News,Trump says there's 'light at the end of the tunnel' as White House pitches $6T coronavirus stimulus package,"Saying the country was nearing the ""the end of our historic battle"" with ""the invisible enemy"" of coronavirus, President Trump on Tuesday evening emphasized his desire for the country to reopen for business by Easter -- as his top economic adviser said Congress is ""getting closer and closer"" to passing an unprecedented fiscal stimulus package.",NA,politics,national,2020-04-01
37,Fox News,Trump officials eye 'additional steps' after executive order on immigration,"The Trump administration is eyeing “additional steps” to restrict immigration visas, just days after President Trump signed an executive order limiting immigration into the country.",NA,politics,national,2020-05-01
38,Fox News,"Dr. Deborah Birx on COVID-19 death toll in US, timeline for coronavirus vaccine","Guests: Deborah Birx, Asa Hutchinson, Mark Parkinson, Jonah Goldberg, Donna Brazile, Josh Holmes",NA,transcript,national,2020-06-01
39,Fox News,Trump says Americans could see a second round of stimulus payments: 'We're talking about that',President Trump said Monday his administration was considering a second round of coronavirus stimulus payments.,NA,politics,national,2020-05-01
40,Fox News,Biden backs push to scrub Confederate names from military bases,Former Vice President Joe Biden says he’s backing a push to the remove the names of Confederate leaders from the Civil War from all U.S. military assets – which stands in stark contrast to President Trump’s fierce opposition earlier this week to scrub those names from 10 military bases.,NA,politics,national,2020-06-01
41,Fox News,Pence insists Trump hasn't told him to slow pace of coronavirus testing,Vice President Mike Pence told a Wisconsin media outlet Tuesday that President Trump has not directed him to slow the rate of coronavirus testing despite Trump making remarks to the contrary at a weekend rally in Oklahoma and insisting the comments were not a joke.,NA,media,national,2020-06-24
42,Fox News,Trump calls himself a ‘wartime president’ over coronavirus as he invokes Defense Production Act,"President Trump on Wednesday announced that he is invoking the Defense Production Act as part of the administration’s efforts to tackle the coronavirus pandemic -- and also described himself as being a ""wartime president.""",NA,politics,national,2020-03-01
43,Fox News,Pence tells 'Hannity' risk of coronavirus spread in US 'remains low' thanks to Trump's 'decisive action',"Vice President Mike Pence told Fox News' Sean Hannity in an exclusive interview Thursday that ""the risk of the spread of coronavirus in the United States of America remains low"" and credited what he called ""unprecedented action"" by President Trump earlier this month.",NA,media,national,2020-03-01
44,Fox News,Second coronavirus case of unknown origin confirmed in California; Oregon confirms first 'community spread' case,"A second novel coronavirus case of ""unknown origin"" was discovered in the state of California on Friday, after a Santa Clara County resident reportedly tested positive for the disease.",NA,health,national,2020-03-01
45,Fox News,"Foreign disinformation campaign on fake national quarantine trying to cause panic, Trump admin. officials say","Trump administration officials say a foreign disinformation campaign is trying to spread fear amid the coronavirus pandemic, with false rumors of a nationwide quarantine and more.",NA,politics,national,2020-03-01
46,Fox News,"Patti LuPone says 'this country is doomed' amid coronavirus crisis, reveals plans if Trump wins second term","Patti LuPone is speaking her truth about the current state of America, and the Broadway veteran admitted that if it continues under President Trump's reign come November, she's packing her bags.",NA,entertainment,national,2020-06-01
47,Fox News,Trump administration hits back after China kicks out US journalists amid coronavirus pandemic,"China on Tuesday escalated its tit-for-tat propaganda war with the United States over who's to blame for the spread of the coronavirus by placing restrictive measures on several top media companies including The New York Times, The Washington Post and The Wall Street Journal, prompting strong opposition from the Trump administration.",NA,world,national,2020-03-01
48,Fox News,Trump calls on states to 'LIBERATE' their people from coronavirus restrictions,President Trump seemed to have endorsed growing demonstrations by residents calling for states to reopen their economies after weeks of restrictions induced by the coronavirus pandemic.,NA,politics,national,2020-05-01
49,Fox News,"Trump vows to resupply national stockpile, saying 'cupboards were bare' amid coronavirus pandemic",President Trump announced on Thursday his administration’s move to restock the country’s national stockpile and industrial base in an effort to prevent any shortages of medical supplies or personal protective equipment amid a public health crisis.,NA,politics,national,2020-05-01
50,Fox News,California pastor who prophesied Kanye West's transformation 4 years ago predicts this about Trump,"Shawn Bolz, a prominent pastor in Los Angeles who has prophesied about many things from Kanye West to President Trump, told Fox News his number one mission is to make it mainstream.",NA,faith-values,national,2020-02-01
51,Fox News,"White House, Dems close in on new $450B coronavirus small biz package; Trump announces testing milestone",NA,NA,us,national,2020-05-01
