Title,Title_link,css-17ubb9w,css-myxawk,css-16nhkrn,Thumbnail,css-15w69y9,css-bc0f0m
Biden Says Trump ‘Surrendered’ to Coronavirus in Blistering Speech,https://www.nytimes.com/2020/06/30/us/politics/biden-speech-trump-coronavirus.html?searchResultPosition=1,June 30,Politics,"President Trump’s Democratic opponent criticized him for failing to protect the American people from the virus, as it continues to surge in many parts of the country.",https://static01.nyt.com/images/2020/06/30/us/politics/30virus-biden1/merlin_174085896_5586475f-cf09-4838-8fe1-a9769800fa13-thumbWide.jpg,By Matt Stevens and Thomas Kaplan,"PRINT EDITIONBiden, in Blistering Speech, Says Trump ‘Surrendered’ to the Coronavirus|July 1, 2020, Page A9"
Trump Is Feeding America’s Coronavirus Nightmare,https://www.nytimes.com/2020/06/24/opinion/trump-coronavirus.html?searchResultPosition=2,June 24,Opinion,“It’s going away” only in the president’s delusion.,https://static01.nyt.com/images/2020/06/24/us/kristof24_chart_international-promo-1593040598330/kristof24_chart_international-promo-1593040598330-thumbWide.png,By Nicholas Kristof,"PRINT EDITIONJune 25, 2020, Page A25"
Biden Hits Trump’s Coronavirus Response: ‘He’s Worried About Looking Bad’,https://www.nytimes.com/2020/06/25/us/politics/biden-speech-trump-coronavirus.html?searchResultPosition=3,June 25,Politics,"Joe Biden took aim at President Trump’s approach to the virus: “It’s all whining and self-pity.” In a separate interview, he said he would require mask-wearing in public if he were president.",https://static01.nyt.com/images/2020/06/25/us/politics/25biden-sub/25biden-sub-thumbWide.jpg,By Reid J. Epstein,"PRINT EDITIONBiden Attacks Trump’s Remark About Virus Testing|June 26, 2020, Page A25"
America Is Too Broken to Fight the Coronavirus,https://www.nytimes.com/2020/06/22/opinion/us-coronavirus-trump.html?searchResultPosition=4,June 22,Opinion,No other developed country is doing so badly.,https://static01.nyt.com/images/2020/06/22/opinion/22goldbergWeb/22goldbergWeb-thumbWide.jpg,By Michelle Goldberg,"PRINT EDITIONToo Broken To Fight the Coronavirus|June 23, 2020, Page A23"
,,,,,,,
"In Tulsa, Trump Plays Down Coronavirus Cases and Demonizes Protesters",https://www.nytimes.com/video/us/politics/100000007202247/trump-tulsa-rally.html?searchResultPosition=5,June 20,Politics,"President Trump said he wanted to slow coronavirus testing, questioned protesters’ toppling of Confederate monuments across the country and vowed to defeat his presumptive Democratic challenger, former Vice President Joe Biden, in November.",https://static01.nyt.com/images/2020/06/20/world/20trump-vid-cover-sub/20trump-vid-cover-sub-thumbWide.jpg,,
Can We Call Trump a Killer?,https://www.nytimes.com/2020/06/24/opinion/trump-coronavirus-deaths.html?searchResultPosition=6,June 24,Opinion,There is no way to remove his culpability in the neglectful handling of the coronavirus.,https://static01.nyt.com/images/2020/06/24/opinion/24blowWEb/24blowWEb-thumbWide.jpg,By Charles M. Blow,
White House Eases Virus Restrictions Except for Those Around Trump,https://www.nytimes.com/2020/06/22/us/politics/white-house-coronavirus-restrictions.html?searchResultPosition=7,June 22,Politics,"Every staff member and guest in contact with President Trump and Vice President Mike Pence will still have their temperatures taken, be asked their symptom histories and be tested for the coronavirus.",https://static01.nyt.com/images/2020/06/22/us/politics/22dc-virus-whitehouse-sub/merlin_173808609_c13041c1-dbec-4315-ada3-3a6ac8eea13e-thumbWide.jpg,By Annie Karni,"PRINT EDITIONWhite House Relaxes Restrictions, Except for Those Around Trump|June 23, 2020, Page A10"
Two More Trump Staff Members Test Positive for Coronavirus After Tulsa Rally,https://www.nytimes.com/2020/06/22/us/politics/trump-campaign-coronavirus-tulsa.html?searchResultPosition=8,June 22,Politics,"The workers, who attended the rally, joined six other members of the campaign’s advance team who tested positive before the event.",https://static01.nyt.com/images/2020/06/22/us/politics/22virus-tulsa/22virus-tulsa-thumbWide.jpg,By Annie Karni,"PRINT EDITION2 More Trump Staff Members Test Positive After Tulsa Rally|June 23, 2020, Page A9"
Meet the Supporters Trump Has Lost,https://www.nytimes.com/2020/07/01/upshot/poll-trump-defectors-2020-election.html?searchResultPosition=9,July 1,The Upshot,A significant majority of people who voted for him in 2016 are planning to do so again. What is different about those who’ve had a change of heart?,https://static01.nyt.com/images/2020/07/01/business/01up-trumpdefectors-robert/01up-trumpdefectors-robert-thumbWide-v2.jpg,"By Claire Cain Miller, Kevin Quealy and Nate Cohn",
