"","Publication","Title","Tagline","Author","Category","City","Date"
"1","NYT","Biden Says Trump ‘Surrendered’ to Coronavirus in Blistering Speech","President Trump’s Democratic opponent criticized him for failing to protect the American people from the virus, as it continues to surge in many parts of the country."," Matt Stevens and Thomas Kaplan","Politics","national","30-Jun"
"2","NYT","Trump Is Feeding America’s Coronavirus Nightmare","“It’s going away” only in the president’s delusion."," Nicholas Kristof","Opinion","national","24-Jun"
"3","NYT","Biden Hits Trump’s Coronavirus Response: ‘He’s Worried About Looking Bad’","Joe Biden took aim at President Trump’s approach to the virus: “It’s all whining and self-pity.” In a separate interview, he said he would require mask-wearing in public if he were president."," Reid J. Epstein","Politics","national","25-Jun"
"4","NYT","America Is Too Broken to Fight the Coronavirus","No other developed country is doing so badly."," Michelle Goldberg","Opinion","national","22-Jun"
"5","NYT",NA,NA,NA,NA,"national",NA
"6","NYT","In Tulsa, Trump Plays Down Coronavirus Cases and Demonizes Protesters","President Trump said he wanted to slow coronavirus testing, questioned protesters’ toppling of Confederate monuments across the country and vowed to defeat his presumptive Democratic challenger, former Vice President Joe Biden, in November.",NA,"Politics","national","20-Jun"
"7","NYT","Can We Call Trump a Killer?","There is no way to remove his culpability in the neglectful handling of the coronavirus."," Charles M. Blow","Opinion","national","24-Jun"
"8","NYT","White House Eases Virus Restrictions Except for Those Around Trump","Every staff member and guest in contact with President Trump and Vice President Mike Pence will still have their temperatures taken, be asked their symptom histories and be tested for the coronavirus."," Annie Karni","Politics","national","22-Jun"
"9","NYT","Two More Trump Staff Members Test Positive for Coronavirus After Tulsa Rally","The workers, who attended the rally, joined six other members of the campaign’s advance team who tested positive before the event."," Annie Karni","Politics","national","22-Jun"
"10","NYT","Meet the Supporters Trump Has Lost","A significant majority of people who voted for him in 2016 are planning to do so again. What is different about those who’ve had a change of heart?"," Claire Cain Miller, Kevin Quealy and Nate Cohn","The Upshot","national","1-Jul"
"11","NYT","Trump Faces Mounting Defections From a Once-Loyal Group: Older White Voters","No Democrat has won or broken even with voters over 65 in two decades. But seniors’ dismay about President Trump could change that."," Alexander Burns and Katie Glueck","Politics","national","28-Jun"
"12","NYT","‘We Will Be Doing More Testing,’ Fauci Says, Disputing Trump Claim","At a House hearing, Dr. Anthony S. Fauci contradicted President Trump, saying that neither he nor any other officials he knew of had been asked by the president to slow coronavirus testing."," Reuters","Politics","national","23-Jun"
"13","NYT","Biden Takes Dominant Lead as Voters Reject Trump on Virus and Race","A New York Times/Siena College poll finds that Joseph R. Biden Jr. is ahead of the president by 14 points, leading among women and nonwhite voters and cutting into his support with white voters."," Alexander Burns, Jonathan Martin and Matt Stevens","Politics","national","24-Jun"
"14","NYT","New Numbers Showing Coronavirus Spread Intrude on a White House in Denial","Both President Trump and Vice President Pence seem oblivious to the new chapter in the pandemic."," Michael D. Shear and Maggie Haberman","Politics","national","26-Jun"
"15","NYT","Trump Rally Fizzles as Attendance Falls Short of Campaign’s Expectations","President Trump’s attempt to revive his re-election bid sputtered badly as he traveled to Tulsa for his first mass rally in months but found a small crowd and delivered a disjointed speech."," Michael D. Shear, Maggie Haberman and Astead W. Herndon","Politics","national","20-Jun"
"16","NYT",NA,NA,NA,NA,"national",NA
"17","NYT","Biden Says Trump ‘Waved the White Flag’","The Democratic challenger goes on offense over the coronavirus: This is your morning tip sheet."," Giovanni Russonello","Politics","national","1-Jul"
"18","NYT","‘They Test and They Test’: Trump Brushes Off Rise in Covid-19 Cases","President Trump claimed rising numbers of coronavirus cases as states reopen across the country were due to increased testing."," The Associated Press","Politics","national","20-Jun"
"19","NYT","As the Coronavirus Spreads, Drug Pricing Legislation Remains Stalled","For both parties, taking action to reduce the cost of prescription drugs was a banner policy issue before the coronavirus outbreak. Does it still have a chance?"," Noah Weiland","Politics","national","27-Jun"
"20","NYT","Some Republicans Aren’t in Denial About the Virus. Trump Still Is.","Downplaying the seriousness of the coronavirus has not stopped it from spreading in parts of the U.S."," The Editorial Board","Opinion","national","23-Jun"
"21","NYT","Ahead of Trump Visit, Church Makes Unproven Claim of Virus-Killing Technology","The president went to Phoenix to speak to a group of student supporters."," Jennifer Medina and Kenneth Chang","Politics","national","23-Jun"
"22","NYT","Amid Pandemic and Protests, Trump Rally Fails to Fill Arena","President Trump’s first campaign event since the start of the coronavirus pandemic and the nationwide protests for racial justice drew a smaller crowd than the campaign had hyped."," Ainara Tiefenthäler","Politics","national","20-Jun"
"23","NYT","Trump Defends China Trade Deal After Adviser Says It’s ‘Over’","Peter Navarro, the White House trade adviser, quickly walked back his remarks, which caused markets to dive."," Ana Swanson","Economy","national","23-Jun"
"24","NYT","Ahead of Trump Visit, Church Makes Unproven Claim of Virus-Killing Technology","The president went to Phoenix to speak to a group of student supporters."," Jennifer Medina and Kenneth Chang","Politics","national","23-Jun"
